dataset	seed	n_samples	synthetic_data_path	metrics_path
adult	44	500	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json
adult	45	100	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json
adult	45	1000	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json
adult	45	200	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json
adult	45	500	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json
adult	46	100	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json
adult	46	1000	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json
adult	46	200	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json
adult	46	500	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv	results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json
anxiety	42	100	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json
anxiety	42	1000	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json
anxiety	42	200	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json
anxiety	42	500	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json
anxiety	43	100	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json
anxiety	43	1000	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json
anxiety	43	200	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json
anxiety	43	500	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json
anxiety	44	100	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json
anxiety	44	1000	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json
anxiety	44	200	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json
anxiety	44	500	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json
anxiety	45	100	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json
anxiety	45	1000	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json
anxiety	45	200	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json
anxiety	45	500	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json
anxiety	46	100	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json
anxiety	46	1000	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json
anxiety	46	200	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json
anxiety	46	500	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv	results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json
churn	42	100	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json
churn	42	1000	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json
churn	42	200	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json
churn	42	500	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json
churn	43	100	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json
churn	43	1000	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json
churn	43	200	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json
churn	43	500	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json
churn	44	100	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json
churn	44	1000	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json
churn	44	200	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json
churn	44	500	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json
churn	45	100	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json
churn	45	1000	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json
churn	45	200	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json
churn	45	500	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json
churn	46	100	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json
churn	46	1000	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json
churn	46	200	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json
churn	46	500	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv	results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json
compas	42	100	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json
compas	42	1000	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json
compas	42	200	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json
compas	42	500	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json
compas	43	100	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json
compas	43	1000	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json
compas	43	200	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json
compas	43	500	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json
compas	44	100	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json
compas	44	1000	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json
compas	44	200	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json
compas	44	500	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json
compas	45	100	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json
compas	45	1000	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json
compas	45	200	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json
compas	45	500	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json
compas	46	100	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json
compas	46	1000	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json
compas	46	200	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json
compas	46	500	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv	results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json
obesity_reg	42	100	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json
obesity_reg	42	1000	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json
obesity_reg	42	200	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json
obesity_reg	42	500	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json
obesity_reg	43	100	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json
obesity_reg	43	1000	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json
obesity_reg	43	200	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json
obesity_reg	43	500	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json
obesity_reg	44	100	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json
obesity_reg	44	1000	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json
obesity_reg	44	200	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json
obesity_reg	44	500	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json
obesity_reg	45	100	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json
obesity_reg	45	1000	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json
obesity_reg	45	200	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json
obesity_reg	45	500	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json
obesity_reg	46	100	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json
obesity_reg	46	1000	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json
obesity_reg	46	200	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json
obesity_reg	46	500	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv	results/obesity_reg/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json
salary	42	100	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json
salary	42	1000	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json
salary	42	200	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json
salary	42	500	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json
salary	43	100	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json
salary	43	1000	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json
salary	43	200	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json
salary	43	500	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json
salary	44	100	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json
salary	44	1000	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json
salary	44	200	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json
salary	44	500	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json
salary	45	100	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json
salary	45	1000	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json
salary	45	200	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json
salary	45	500	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n500/metrics.json
salary	46	100	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json
salary	46	1000	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json
salary	46	200	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json
salary	46	500	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv	results/salary/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json
